Sample_id	Sample	extraction_ID	Coral	Treatment	Tank	Settlement	Percent_settled	input	filtered	percentage.of.input.passed.filter	denoised	merged	percentage.of.input.merged	non.chimeric	percentage.of.input.non.chimeric
SE3682_S223	SE3682	2536	Lcor	Rubble	Rubble	High	100	8681	6134	70.66	5881	5549	63.92	5549	63.92
SE3683_S228	SE3683	2565	Lcor	Rubble	Rubble	High	83.33333333	6673	5242	78.56	4980	4727	70.84	4727	70.84
SE3683_S311	SE3683	2565	Lcor	Rubble	Rubble	High	83.33333333	12315	10244	83.18	10012	9630	78.2	9618	78.1
SE3684_S233	SE3684	2562	Lcor	Rubble_ctrl	ctrl	None	0	6369	5307	83.33	5224	5175	81.25	5175	81.25
SE3685_S196	SE3685	2538	Lcor	Rubble_ctrl	ctrl	None	0	10143	7944	78.32	7816	7732	76.23	7732	76.23
SE3686_S202	SE3686	2560	Lcor	Rubble	Rubble	Low	33.3333333	6729	5954	88.48	5196	4678	69.52	4678	69.52
SE3686_S301	SE3686	2560	Lcor	Rubble	Rubble	Low	33.3333333	113239	100827	89.04	98171	95164	84.04	94377	83.34
SE3687_S208	SE3687	MIS5C_22_Sep	tank_water	tank_water	tank_water	tank_water	0	48061	44838	93.29	38105	34420	71.62	33197	69.07
SE3688_S214	SE3688	MIS5C_29_Oct	tank_water	tank_water	tank_water	tank_water	0	48930	45069	92.11	37857	34477	70.46	33979	69.44
SE3689_S219	SE3689	MIS7C_22_Sep	tank_water	tank_water	tank_water	tank_water	0	22851	21319	93.3	16931	15411	67.44	15079	65.99
SE3690_S224	SE3690	MIS7C_29_Oct	tank_water	tank_water	tank_water	tank_water	0	69143	64072	92.67	53557	48254	69.79	46246	66.88
SE3691_S229	SE3691	MIS8C_22_Sep	tank_water	tank_water	tank_water	tank_water	0	48001	45070	93.89	38475	34865	72.63	34525	71.93
SE3692_S234	SE3692	MIS8C_29_Oct	tank_water	tank_water	tank_water	tank_water	0	40014	36950	92.34	31269	28418	71.02	28227	70.54
SE3693_S197	SE3693	Rm7_water_1_Nov_2021	room_water	room_water	room_water	room_water	0	37511	35621	94.96	35165	34405	91.72	31461	83.87
SE3694_S203	SE3694	Rm7_water_29_Oct_2021	room_water	room_water	room_water	room_water	0	67879	64782	95.44	64098	62708	92.38	55072	81.13
SE3695_S209	SE3695	Rm7_water_30_Oct_2021	room_water	room_water	room_water	room_water	0	74508	70943	95.22	69948	68579	92.04	60606	81.34
SE3696_S215	SE3696	Rm7_water_31_Oct_2021	room_water	room_water	room_water	room_water	0	172517	163519	94.78	162193	159151	92.25	140386	81.38
SE3697_S220	SE3697	Lcor larv	Lcor	Larvae	Larvae	Larvae	0	54176	751	1.39	642	616	1.14	616	1.14
SE3698_S225	SE3698	Plob_larve	Plob	Larvae	Larvae	Larvae	0	68168	3435	5.04	3087	2939	4.31	2808	4.12
SE3699_S230	SE3699	Dfav larv	Dfav	Larvae	Larvae	Larvae	0	63668	234	0.37	164	154	0.24	154	0.24
SE3700_S235	SE3700	Psin larv	Psin	Larvae	Larvae	Larvae	0	69681	150	0.22	73	66	0.09	66	0.09
SE3701_S198	SE3701	Blank_1	Blank	Blank	Blank	Blank	0	330	55	16.67	24	19	5.76	19	5.76
SE3702_S204	SE3702	Blank2	Blank	Blank	Blank	Blank	0	251	74	29.48	49	39	15.54	39	15.54
SE3703_S210	SE3703	Blank 3	Blank	Blank	Blank	Blank	0	387	96	24.81	20	17	4.39	17	4.39
SE3704_S242	SE3704	181	Easp	Light_2M	MIS5C	Low	33.33333333	3256	2861	87.87	2616	2511	77.12	2511	77.12
SE3704_S316	SE3704	181	Easp	Light_2M	MIS5C	Low	33.33333333	387	251	64.86	108	98	25.32	98	25.32
SE3704_S366	SE3704	181	Easp	Light_2M	MIS5C	Low	33.33333333	98	47	47.96	30	30	30.61	30	30.61
SE3705_S254	SE3705	182	Easp	Light_2M	MIS5C	High	83.33333333	12554	11611	92.49	11078	10641	84.76	10641	84.76
SE3706_S266	SE3706	183	Easp	Light_2M	MIS5C	Low	50	47076	44408	94.33	42962	41617	88.4	41039	87.18
SE3707_S278	SE3707	184	Easp	Light_2M	MIS5C	Low	50	3205	2900	90.48	2667	2497	77.91	2497	77.91
SE3707_S326	SE3707	184	Easp	Light_2M	MIS5C	Low	50	270	187	69.26	103	92	34.07	92	34.07
SE3707_S367	SE3707	184	Easp	Light_2M	MIS5C	Low	50	191	78	40.84	48	41	21.47	41	21.47
SE3708_S289	SE3708	185	Easp	Light_2M	MIS5C	Low	16.66666667	11800	11104	94.1	10696	10350	87.71	10350	87.71
SE3709_S300	SE3709	187	Easp	Light_2M	MIS5C	High	83.33333333	41056	38646	94.13	37408	36604	89.16	36427	88.73
SE3710_S311	SE3710	190	Easp	Light_2M	MIS5C	Low	33.33333333	37337	35272	94.47	34396	33666	90.17	33434	89.55
SE3711_S323	SE3711	193	Easp	Light_2M	MIS5C	Low	16.66666667	46946	44118	93.98	43391	42510	90.55	42497	90.52
SE3712_S243	SE3712	194	Easp	Light_2M	MIS5C	High	83.33333333	27009	25336	93.81	24483	23787	88.07	23720	87.82
SE3713_S255	SE3713	196	Easp	Light_2M	MIS5C	High	83.33333333	19958	18534	92.87	17870	17403	87.2	17371	87.04
SE3714_S267	SE3714	197	Easp	Light_2M	MIS5C	High	100	30857	29114	94.35	28019	27165	88.04	26891	87.15
SE3715_S279	SE3715	202	Easp	Light_2M	MIS5C	High	100	10413	9651	92.68	9173	8786	84.38	8786	84.38
SE3716_S290	SE3716	203	Easp	Light_2M	MIS5C	None	0	35030	33226	94.85	32009	31130	88.87	30975	88.42
SE3717_S301	SE3717	206	Easp	Light_2M	MIS5C	Low	16.66666667	5690	5336	93.78	4998	4764	83.73	4764	83.73
SE3717_S330	SE3717	206	Easp	Light_2M	MIS5C	Low	16.66666667	102216	94876	92.82	94101	93015	91	92965	90.95
SE3718_S312	SE3718	207	Easp	Light_2M	MIS5C	Low	16.66666667	25915	24683	95.25	23996	23307	89.94	23255	89.74
SE3719_S324	SE3719	208	Easp	Light_2M	MIS5C	High	83.33333333	77599	72989	94.06	71228	69463	89.52	67658	87.19
SE3720_S244	SE3720	209	Easp	Light_2M	MIS5C	High	83.33333333	67067	62903	93.79	60907	59010	87.99	57413	85.61
SE3721_S256	SE3721	211	Easp	Light_2M	MIS5C	High	83.33333333	7897	7305	92.5	6840	6476	82.01	6476	82.01
SE3722_S268	SE3722	280	Easp	Dark_2M	MIS5C	Low	16.66666667	46968	44365	94.46	43480	42645	90.8	42544	90.58
SE3723_S280	SE3723	326	Easp	Light_2M	MIS7C	Low	16.66666667	33686	31247	92.76	30015	28742	85.32	28676	85.13
SE3724_S291	SE3724	328	Easp	Light_2M	MIS7C	None	0	20147	18866	93.64	17948	17086	84.81	17084	84.8
SE3725_S302	SE3725	329	Easp	Light_2M	MIS7C	Low	20	53109	49655	93.5	47846	45924	86.47	45309	85.31
