Sample_id	Sample	extraction_ID	Coral	Treatment	Tank	Settlement	Percent_settled	input	filtered	percentage.of.input.passed.filter	denoised	merged	percentage.of.input.merged	non.chimeric	percentage.of.input.non.chimeric
SE6698_S124	SE6698	451	Easp	Light_1M	MIS8C	High	66.66666667	8084	7427	91.87	7159	6847	84.7	6847	84.7
SE6699_S125	SE6699	453	Easp	Light_1M	MIS8C	Low	20	7652	7025	91.81	6776	6525	85.27	6525	85.27
SE6700_S126	SE6700	454	Easp	Light_1M	MIS8C	Low	28.57142857	7118	6527	91.7	6265	5927	83.27	5927	83.27
SE6701_S127	SE6701	455	Easp	Light_1M	MIS8C	Low	16.66666667	65185	60652	93.05	59850	58322	89.47	58268	89.39
SE6702_S128	SE6702	458	Easp	Light_1M	MIS8C	None	0	9446	8674	91.83	8536	8329	88.17	8313	88.01
SE6703_S129	SE6703	459	Easp	Light_1M	MIS8C	None	0	32258	30143	93.44	29410	28404	88.05	28384	87.99
SE6704_S130	SE6704	461	Easp	Light_1M	MIS8C	None	0	9703	8531	87.92	8364	8099	83.47	8099	83.47
SE6705_S131	SE6705	463	Easp	Light_1M	MIS8C	None	0	4744	4157	87.63	3924	3712	78.25	3712	78.25
SE6705_S283	SE6705	463	Easp	Light_1M	MIS8C	None	0	28579	25715	89.98	25456	24797	86.77	24797	86.77
SE6706_S132	SE6706	259	Easp	Dark_2M	MIS5C	None	0	6935	6157	88.78	5754	5380	77.58	5362	77.32
SE6707_S133	SE6707	261	Easp	Dark_2M	MIS5C	Low	16.66666667	7203	6491	90.12	5776	5221	72.48	5221	72.48
SE6708_S134	SE6708	262	Easp	Dark_2M	MIS5C	Low	16.66666667	5853	5274	90.11	4671	4171	71.26	4171	71.26
SE6708_S284	SE6708	262	Easp	Dark_2M	MIS5C	Low	16.66666667	15270	14014	91.77	13335	12791	83.77	12762	83.58
SE6709_S135	SE6709	263	Easp	Dark_2M	MIS5C	Low	33.33333333	48203	44282	91.87	42321	40484	83.99	40417	83.85
SE6710_S136	SE6710	265	Easp	Dark_2M	MIS5C	Low	33.33333333	7351	6541	88.98	5766	5268	71.66	5246	71.36
SE6711_S137	SE6711	268	Easp	Dark_2M	MIS5C	None	0	126469	114663	90.66	110854	106317	84.07	105730	83.6
SE6712_S138	SE6712	269	Easp	Dark_2M	MIS5C	None	0	189320	173169	91.47	167741	161415	85.26	160489	84.77
SE6713_S139	SE6713	277	Easp	Dark_2M	MIS5C	None	0	4821	4254	88.24	3784	3406	70.65	3406	70.65
SE6713_S285	SE6713	277	Easp	Dark_2M	MIS5C	None	0	18967	17287	91.14	16909	16401	86.47	16299	85.93
SE6714_S140	SE6714	279	Easp	Dark_2M	MIS5C	None	0	7573	6812	89.95	6285	5918	78.15	5913	78.08
SE6715_S141	SE6715	280	Easp	Dark_2M	MIS5C	Low	16.66666667	6238	5708	91.5	5176	4768	76.43	4749	76.13
SE6716_S142	SE6716	281	Easp	Dark_2M	MIS5C	None	0	8370	7744	92.52	7298	6879	82.19	6823	81.52
SE6717_S143	SE6717	283	Easp	Dark_2M	MIS5C	High	66.66666667	17476	15539	88.92	14194	13002	74.4	12962	74.17
SE6718_S144	SE6718	284	Easp	Dark_2M	MIS5C	Low	33.33333333	107463	99323	92.43	96191	92413	86	92184	85.78
SE6719_S145	SE6719	285	Easp	Dark_2M	MIS5C	None	0	16878	15434	91.44	14461	13683	81.07	13683	81.07
SE6720_S146	SE6720	286	Easp	Dark_2M	MIS5C	Low	16.66666667	87812	80791	92	77330	73405	83.59	73335	83.51
SE6721_S147	SE6721	397	Easp	Dark_2M	MIS7C	Low	33.33333333	6303	5606	88.94	4988	4572	72.54	4572	72.54
SE6722_S148	SE6722	400	Easp	Dark_2M	MIS7C	None	0	19219	17589	91.52	16329	15295	79.58	15295	79.58
SE6723_S149	SE6723	403	Easp	Dark_2M	MIS7C	None	0	8168	7415	90.78	6846	6367	77.95	6367	77.95
SE6724_S150	SE6724	404	Easp	Dark_2M	MIS7C	None	0	80131	73739	92.02	71146	68077	84.96	67999	84.86
SE6725_S151	SE6725	406	Easp	Dark_2M	MIS7C	High	66.66666667	8554	7497	87.64	6697	6152	71.92	6054	70.77
SE6726_S152	SE6726	409	Easp	Dark_2M	MIS7C	None	0	9961	8955	89.9	8365	7801	78.32	7801	78.32
SE6727_S153	SE6727	410	Easp	Dark_2M	MIS7C	None	0	12394	11458	92.45	11116	10748	86.72	10719	86.49
SE6728_S154	SE6728	421	Easp	Dark_2M	MIS7C	Low	33.33333333	7250	6564	90.54	6234	5957	82.17	5957	82.17
SE6729_S155	SE6729	423	Easp	Dark_2M	MIS7C	High	66.66666667	43459	39196	90.19	37223	35637	82	35558	81.82
SE6730_S156	SE6730	424	Easp	Dark_2M	MIS7C	Low	50	7255	6516	89.81	5905	5531	76.24	5510	75.95
SE6731_S157	SE6731	425	Easp	Dark_2M	MIS7C	High	66.66666667	51465	44869	87.18	42709	40827	79.33	40753	79.19
SE6732_S158	SE6732	427	Easp	Dark_2M	MIS7C	Low	16.66666667	49577	45635	92.05	43842	41860	84.43	41585	83.88
SE6733_S159	SE6733	428	Easp	Dark_2M	MIS7C	None	0	8180	7518	91.91	6686	6091	74.46	6091	74.46
SE6734_S160	SE6734	429	Easp	Dark_2M	MIS7C	None	0	5047	4615	91.44	4210	3881	76.9	3881	76.9
SE6734_S286	SE6734	429	Easp	Dark_2M	MIS7C	None	0	12006	11062	92.14	10570	10105	84.17	10105	84.17
SE6735_S161	SE6735	541	Easp	Dark_2M	MIS8C	None	0	65568	59963	91.45	57539	54925	83.77	54856	83.66
SE6736_S162	SE6736	542	Easp	Dark_2M	MIS8C	None	0	7748	6421	82.87	6365	6215	80.21	6178	79.74
SE6737_S163	SE6737	543	Easp	Dark_2M	MIS8C	None	0	107792	99557	92.36	96115	92785	86.08	92507	85.82
SE6738_S164	SE6738	544	Easp	Dark_2M	MIS8C	None	0	6110	5616	91.91	4722	4208	68.87	4191	68.59
SE6739_S165	SE6739	545	Easp	Dark_2M	MIS8C	Low	16.66666667	48704	45270	92.95	42846	40250	82.64	40044	82.22
SE6740_S166	SE6740	547	Easp	Dark_2M	MIS8C	Low	16.66666667	17652	16191	91.72	14680	13377	75.78	13340	75.57
SE6741_S167	SE6741	548	Easp	Dark_2M	MIS8C	Low	16.66666667	28005	25682	91.71	23837	22011	78.6	21947	78.37
SE6742_S168	SE6742	555	Easp	Dark_2M	MIS8C	None	0	23831	22187	93.1	20724	19609	82.28	19573	82.13
SE6743_S169	SE6743	556	Easp	Dark_2M	MIS8C	Low	16.66666667	24229	22182	91.55	20609	19455	80.3	19422	80.16
SE6744_S170	SE6744	557	Easp	Dark_2M	MIS8C	None	0	55831	51782	92.75	49223	46695	83.64	46562	83.4
SE6745_S171	SE6745	559	Easp	Dark_2M	MIS8C	Low	16.66666667	87737	81599	93	77741	73818	84.14	73598	83.88
SE6746_S172	SE6746	560	Easp	Dark_2M	MIS8C	None	0	23288	21693	93.15	20070	18660	80.13	18625	79.98
SE6747_S173	SE6747	562	Easp	Dark_2M	MIS8C	Low	16.66666667	41792	38525	92.18	36609	34479	82.5	34226	81.9
SE6748_S174	SE6748	563	Easp	Dark_2M	MIS8C	Low	16.66666667	20530	18879	91.96	17722	16606	80.89	16577	80.75
SE6749_S175	SE6749	ctrl_1080	Psin	Tile_ctrl	ctrl	None	0	6803	6042	88.81	5997	5934	87.23	5934	87.23
SE6750_S176	SE6750	ctrl_0294	Easp	Tile_ctrl	ctrl	None	0	8485	6549	77.18	6502	6364	75	6268	73.87
SE6751_S177	SE6751	ctrl_0405	Easp	Tile_ctrl	ctrl	None	0	7306	6436	88.09	6387	6286	86.04	6286	86.04
SE6752_S178	SE6752	Blank_7	Blank	Blank	Blank	Blank	0	116	84	72.41	73	62	53.45	62	53.45
